,Episodes,Title,User Score,Type,Rated,Aired Month,Aired Year,Studio,Episodes Watched,Status
0,22,3-gatsu no Lion,9,TV,PG-13,Fall,2016,Shaft,22,Completed
1,22,3-gatsu no Lion 2nd Season,10,TV,PG-13,Fall,2017,Shaft,22,Completed
2,24,Accel World,7,TV,PG-13,Spring,2012,Sunrise,24,Completed
3,50,Ahiru no Sora,7,TV,PG-13,Fall,2019,Diomedéa,50,Completed
4,13,Ajin,6,TV,R,Winter,2016,Polygon Pictures,13,Completed
5,13,Ajin 2nd Season,7,TV,R,Fall,2016,Polygon Pictures,13,Completed
6,25,Ao no Exorcist,6,TV,PG-13,Spring,2011,A-1 Pictures,25,Completed
7,52,Bakugan Battle Brawlers,10,TV,PG,Spring,2007,TMS Entertainment,52,Completed
8,12,Boku dake ga Inai Machi,9,TV,R,Winter,2016,A-1 Pictures,12,Completed
9,13,Boku no Hero Academia,7,TV,PG-13,Spring,2016,Bones,13,Completed
10,25,Boku no Hero Academia 2nd Season,8,TV,PG-13,Spring,2017,Bones,25,Completed
11,25,Boku no Hero Academia 3rd Season,8,TV,PG-13,Spring,2018,Bones,25,Completed
12,25,Boku no Hero Academia 4th Season,9,TV,PG-13,Fall,2019,Bones,25,Completed
13,1,Boku no Hero Academia the Movie 2: Heroes:Rising,9,Movie,PG-13,Fall,2019,Bones,1,Completed
14,2,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,6,ONA,PG-13,Summer,2020,Bones,2,Completed
15,1,Boku wa Robot-goshi no Kimi ni Koi wo Suru,7,Special,PG-13,Fall,2017,A-1 Pictures,1,Completed
16,3,Byousoku 5 Centimeter,8,Movie,PG-13,Winter,2007,CoMix Wave Films,3,Completed
17,13,Charlotte,7,TV,PG-13,Summer,2015,P.A. Works,13,Completed
18,12,Chuunibyou demo Koi ga Shitai!,10,TV,PG-13,Fall,2012,Kyoto Animation,12,Completed
19,1,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,10,Movie,PG-13,Winter,2018,Kyoto Animation,1,Completed
20,12,Chuunibyou demo Koi ga Shitai! Ren,8,TV,PG-13,Winter,2014,Kyoto Animation,12,Completed
21,1,Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,10,Special,PG-13,Spring,2013,Kyoto Animation,1,Completed
22,23,Clannad,10,TV,PG-13,Fall,2007,Kyoto Animation,23,Completed
23,1,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",9,Special,PG-13,Summer,2009,Kyoto Animation,1,Completed
24,1,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",9,Special,PG-13,Summer,2008,Kyoto Animation,1,Completed
25,26,Cowboy Bebop,8,TV,R,Spring,1998,Sunrise,26,Completed
26,26,Daisuki! BuBu ChaCha,10,TV,G,Spring,2001,Daume,26,Completed
27,24,Darling in the FranXX,7,TV,PG-13,Winter,2018,"A-1 Pictures, Trigger, CloverWorks",24,Completed
28,11,Darwin's Game,8,TV,R,Winter,2020,Nexus,11,Completed
