,Target,Weight,Count,User Weight,User Score,Score Diff,Score Diff z-score
0,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",0.01876675603217158,1,0.0938337801608579,10.0,1.8689999999999998,1.3248789540696984
1,"""Bungaku Shoujo"" Memoire",0.030303030303030304,1,0.09090909090909091,8.0,0.2990000000000004,-0.015345963527152616
2,"""Bungaku Shoujo"" Movie",0.4700989867279735,6,2.1022727739625995,8.833333333333334,0.7973333333333343,0.4100545145635683
3,.hack//G.U. Trilogy,0.06481481481481481,1,0.25925925925925924,9.0,0.9190000000000005,0.5139148319569544
4,.hack//Quantum,1.0183122812171062,4,3.017658686445864,7.5,-0.05349999999999966,-0.31625633515319734
5,.hack//Roots,0.08313600939025553,3,0.13716886284171365,7.0,-0.5976666666666661,-0.7807822752756728
6,.hack//Sign,0.5149181498435357,8,1.148337054830234,8.125,0.012750000000000483,-0.25970225821638737
7,.hack//Tasogare no Udewa Densetsu,0.15198281559814936,4,0.47758194413845434,7.5,-0.07350000000000101,-0.3333292640397826
8,.hack//The Movie: Sekai no Mukou ni,0.10013096374629751,3,0.3220263885828988,7.333333333333333,-0.20433333333333348,-0.4450146738395195
9,009-1,0.011784511784511786,1,0.03535353535353536,8.0,-0.7710000000000008,-0.9287476589594028
10,07-Ghost,0.517991107597357,9,0.9250762049268124,7.444444444444445,-0.6443333333333339,-0.8206191093443699
11,100-man no Inochi no Ue ni Ore wa Tatteiru,0.2669305313048623,5,0.8490234588433663,8.2,0.3609999999999989,0.0375801160212568
12,11eyes,0.16060363115501008,8,0.3871857552055299,7.25,-0.6860000000000008,-0.8561877111914205
13,18if,0.0072916666666666685,1,0.021875000000000006,8.0,-0.37100000000000044,-0.5872890812277205
14,2.43: Seiin Koukou Danshi Volley-bu,0.3083738374985648,3,1.061081556890811,8.666666666666666,0.21233333333333348,-0.08932865536901723
15,3-gatsu no Lion,2.3549539208932373,16,9.370588161526237,9.3125,0.9927500000000009,0.5768712572262337
16,3-gatsu no Lion 2nd Season,0.3011288526687357,4,1.3488569330269362,9.25,0.6464999999999996,0.2812961758772454
17,3D Kanojo: Real Girl,0.7495437650583308,7,3.1387412041002922,9.428571428571429,1.1618571428571425,0.7212289684369034
18,3D Kanojo: Real Girl 2nd Season,0.09485688729874778,2,0.447361359570662,9.0,0.3439999999999994,0.02306812646766078
19,3x3 Eyes,0.05109489051094891,1,0.05109489051094891,6.0,-1.471,-1.5263001699898455
20,5-toubun no Hanayome,0.07632027392325555,4,0.36022732381475103,9.75,1.5864999999999991,1.0837238335466974
21,7 Seeds,0.5628378378378378,2,2.2513513513513512,9.0,0.5240000000000009,0.1767244864469189
22,7 Seeds 2nd Season,0.06306306306306306,1,0.25225225225225223,9.0,0.6790000000000003,0.3090396853179451
23,86,0.08944334404145653,2,0.2299194948872873,8.0,0.0940000000000003,-0.19034348461463965
24,91 Days,0.14792283415320462,6,0.25324847596317285,7.166666666666667,-0.9193333333333333,-1.055371881534901
25,A Kite,0.011784511784511786,1,0.03535353535353536,8.0,-0.7710000000000008,-0.9287476589594028
26,A-Channel,0.17883211678832117,1,0.8941605839416058,10.0,2.159,1.5724364229251677
27,A.F,0.008871989860583013,1,0.044359949302915064,10.0,1.6790000000000003,1.1626861296471498
28,A.I.C.O.: Incarnation,0.04697986577181208,1,0.14093959731543626,8.0,0.7489999999999997,0.36879493642098893
29,ACCA: 13-ku Kansatsu-ka,0.011784511784511786,1,0.03535353535353536,8.0,-0.7710000000000008,-0.9287476589594028
30,AKB0048,0.05499570288325407,4,0.07023838665784989,6.75,-1.1635000000000009,-1.2638038883586158
31,AKB0048: Next Stage,0.012773722627737228,1,0.06386861313868614,10.0,2.159,1.5724364229251677
32,Aa! Megami-sama! (TV),0.01754385964912281,1,0.08771929824561404,10.0,1.859,1.3163424896264064
33,Aa! Megami-sama! Movie,0.08433734939759037,1,0.42168674698795183,10.0,1.4789999999999992,0.991956840781308
34,Abenobashi Mahou☆Shoutengai,0.1558224900239288,5,0.6812692967358249,8.4,0.46499999999999986,0.12635934623149495
35,Absolute Duo,0.5706373353749746,7,0.371259935040694,7.285714285714286,-0.34385714285714375,-0.5641186777387853
36,Accel World,1.721325370913783,9,1.9849204483289307,7.555555555555555,-0.17544444444444363,-0.42035377655889716
37,Acchi Kocchi (TV),0.04679407886183391,3,0.2232833714084062,9.666666666666666,1.735666666666666,1.2110594281591374
38,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,0.06219725707615991,2,0.1713743799241319,7.5,-0.15600000000000058,-0.4037550956969416
39,Adachi to Shimamura,0.0072916666666666685,1,0.021875000000000006,8.0,-0.37100000000000044,-0.5872890812277205
40,Afro Samurai,0.7215246623925015,4,2.0621349627872605,6.5,-1.6059999999999999,-1.641542439974288
41,Afro Samurai Movie,0.022727272727272728,1,0.06818181818181818,8.0,-0.5009999999999994,-0.6982631189905163
42,Afro Samurai: Resurrection,0.022727272727272728,1,0.06818181818181818,8.0,-0.5009999999999994,-0.6982631189905163
43,After War Gundam X,0.008871989860583013,1,0.044359949302915064,10.0,1.6790000000000003,1.1626861296471498
44,Aggressive Retsuko,0.07777777777777779,1,0.31111111111111117,9.0,1.0490000000000004,0.624888869719751
45,Aggressive Retsuko (ONA),0.07777777777777779,1,0.31111111111111117,9.0,1.0490000000000004,0.624888869719751
46,Agitated Screams of Maggots,0.013461538461538464,1,0.040384615384615394,8.0,-0.7210000000000001,-0.886065336742942
47,Ahiru no Sora,1.7296497214229185,5,4.591890340739344,7.8,-0.2290000000000001,-0.46607128613297316
48,Aho Girl,0.2519735726083657,4,0.9847363956966209,9.0,0.8765000000000001,0.47763485807296285
49,Ai Yori Aoshi,0.027559055118110236,1,0.1377952755905512,10.0,1.9489999999999998,1.3931706696160346
50,Aikatsu!,0.23286706578666624,3,1.045691261136721,9.666666666666666,1.8489999999999993,1.3078060251831138
51,Air,0.6664911693607489,5,2.8538042167436646,8.4,0.1269999999999989,-0.16217315195177712
52,Air Gear,1.4914741731677377,14,0.9361559433655071,7.285714285714286,-0.6495714285714307,-0.825090590719429
53,Aishen Qiaokeli-ing...,0.013779527559055118,1,0.0688976377952756,10.0,1.9489999999999998,1.3931706696160346
54,Aishiteruze Baby★★,0.18725724813423708,3,0.7628085200960034,9.333333333333334,1.2456666666666667,0.7927726704378276
55,Aiura,0.06386861313868614,1,0.3193430656934307,10.0,2.159,1.5724364229251677
56,Ajin,1.3122745387772645,11,2.651792067127744,7.7272727272727275,-0.34827272727272796,-0.5678880256747842
57,Ajin 2nd Season,0.23659828429355684,3,0.2544465685871137,6.666666666666667,-1.1610000000000014,-1.2616697722477932
58,Ajin Part 1: Shoudou,0.03322652018005645,2,0.0664530403601129,7.0,-1.091000000000001,-1.2019145211447486
59,Akachan to Boku,0.12962962962962962,1,0.6481481481481481,10.0,1.7089999999999996,1.1882955229770253
60,Akagami no Shirayuki-hime,0.07883981751362314,3,0.20573754910657716,8.333333333333334,-0.19099999999999895,-0.43363272124846236
61,Akagami no Shirayuki-hime 2nd Season,0.013461538461538464,1,0.040384615384615394,8.0,-0.7210000000000001,-0.886065336742942
62,Akame ga Kill!,2.375354102083317,28,4.9459994665075975,7.571428571428571,-0.40421428571428475,-0.6156423381286537
63,Akaneiro ni Somaru Saka,0.035153573360581836,2,0.1543938210013825,9.5,1.3739999999999988,0.9023239641267411
64,Akanesasu Shoujo,0.010886469673405912,1,0.05443234836702956,10.0,0.8889999999999993,0.4883054386270773
65,Akatsuki no Yona,0.19434578802797353,8,0.7776663035049477,8.875,0.38150000000000084,0.055079868130007176
66,Aki no Kanade,0.11864406779661017,1,0.4745762711864407,9.0,0.8490000000000002,0.45415958085390984
67,Akiba's Trip The Animation,0.01754385964912281,1,0.08771929824561404,10.0,1.859,1.3163424896264064
